ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,"WINSLOW SUPPLY, INC.","WINSLOW SUPPLY, INC. - WATERVILLE - 181416",WATERVILLE,ME,313-594                  ,420 - Water Service Fittings        ,$0,$0,($0),-100.0%,Direct
Legend,HAJOCA,PEABODY SALES & SERVICE - # 459 - HAVERHILL - 543477,HAVERHILL,MA,313-614NL                ,420 - Water Service Fittings        ,$722,$0,$722,,Direct
Legend,HAJOCA,PEABODY SALES & SERVICE - # 459 - HAVERHILL - 543477,HAVERHILL,MA,313-615NL                ,420 - Water Service Fittings        ,"$1,303",$0,"$1,303",,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,314-215NL                ,420 - Water Service Fittings        ,$0,$196,($196),-100.0%,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,314-217NL                ,420 - Water Service Fittings        ,$0,$215,($215),-100.0%,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,314-218NL                ,420 - Water Service Fittings        ,$0,$282,($282),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,314-255NL                ,420 - Water Service Fittings        ,$0,$121,($121),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-001                  ,430 - Malleable Fittings            ,$0,$30,($30),-100.0%,Direct
Legend,"APPALACHIAN SUPPLY, INC. - #228800","APPALACHIAN SUPPLY, INC. - #228800 - SAINT JOHNSBURY - 16328",SAINT JOHNSBURY,VT,350-002                  ,430 - Malleable Fittings            ,$0,$22,($22),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-003                  ,430 - Malleable Fittings            ,$0,$45,($45),-100.0%,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,350-004                  ,430 - Malleable Fittings            ,$52,$0,$52,,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-005                  ,430 - Malleable Fittings            ,$0,$38,($38),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-006                  ,430 - Malleable Fittings            ,$158,$0,$158,,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,350-007                  ,430 - Malleable Fittings            ,$97,$0,$97,,Direct
Legend,"APPALACHIAN SUPPLY, INC. - #228800","APPALACHIAN SUPPLY, INC. - #228800 - SAINT JOHNSBURY - 16328",SAINT JOHNSBURY,VT,350-023                  ,430 - Malleable Fittings            ,$0,$27,($27),-100.0%,Direct
Legend,"APPALACHIAN SUPPLY, INC. - #228800","APPALACHIAN SUPPLY, INC. - #228800 - SAINT JOHNSBURY - 16328",SAINT JOHNSBURY,VT,350-025                  ,430 - Malleable Fittings            ,$0,$42,($42),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-041                  ,430 - Malleable Fittings            ,$0,$46,($46),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-047                  ,430 - Malleable Fittings            ,$0,$48,($48),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-067                  ,430 - Malleable Fittings            ,$86,$0,$86,,Direct
Legend,P & E SUPPLY - #227900,P & E SUPPLY - #227900 - SANFORD - 11937,SANFORD,ME,350-109                  ,430 - Malleable Fittings            ,$37,$0,$37,,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-151                  ,430 - Malleable Fittings            ,$0,$46,($46),-100.0%,Direct
Legend,J.D.M. SUPPLY,J.D.M. SUPPLY - MAPLEVILLE - 15647,MAPLEVILLE,RI,350-156                  ,430 - Malleable Fittings            ,$0,$67,($67),-100.0%,Direct
